项目,值
随机种子数,30
总代数,500
""
最终适应度统计,
均值,3.438274776485538
标准差,0.9056386965514087
最小值,1.865511872145146
最大值,4.931529773233221
中位数,3.4599918592096826
""
各Seed最终结果,
Seed,Final_Best
0,4.120252435875348
1,2.7034823587915273
2,1.9609626360327548
3,3.2811671263691244
4,4.396811260243652
5,4.854422743972999
6,3.4483919637197773
7,4.805543096871206
8,3.708322777876922
9,2.587469836232181
10,4.197725658729909
11,1.865511872145146
12,2.47402693350593
13,2.907719184283876
14,4.245770071831276
15,4.550101809410685
16,3.746278205714945
17,2.0741395868694315
18,2.8153718619415473
19,2.746059211449095
20,2.3331680586714993
21,3.471591754699588
22,3.011416260507319
23,2.361708747859982
24,4.931529773233221
25,3.7209499696035584
26,3.621852962276666
27,3.3838338407423754
28,4.526130615102996
29,4.296530680001629
